game_id,team1_id,tore_heim,tore_aus,team2_id,liga,datetime,tor_diff,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
8291,27,0,2,49,bundesliga,1991-02-27,-2,'2','828','4840','4270','3975','1437','3804','490','1406','849','1783','5480','4679','3612','37','1884','979','3595','1466','2012','1508','899'
8292,8,2,2,40,bundesliga,1991-03-05,0,'4552','3946','3786','4151','1989','3322','1326','728','1321','1033','2039','4640','3656','349','3606','2696','4405','447','3705','1913','697','4296'
8293,50,0,0,45,bundesliga,1991-03-01,0,'2389','3718','1892','3228','5219','99','2468','2640','465','2986','1214','2352','77','235','3059','3888','3007','3870','3151','4763','4521','4626'
8294,40,0,2,2,bundesliga,1991-03-02,-2,'4640','3656','3606','2696','4405','447','962','3705','3414','697','4296','3928','3687','1573','5429','2851','3634','4284','2970','3310','4212','2812'
8295,10,2,2,33,bundesliga,1991-03-02,0,'1843','2739','3125','4853','432','1248','897','4066','3778','5399','3261','12','3813','2465','237','3368','3363','810','5229','5288','2264','5355'
8296,39,4,3,25,bundesliga,1991-03-02,1,'1577','1891','3774','3750','1358','4999','4802','3461','2148','5407','2840','2087','1194','2154','1112','1495','5425','688','1028','2126','629','4674'
8297,54,1,0,27,bundesliga,1991-03-02,1,'1275','3307','2796','2936','3152','1754','149','3771','4443','2090','2133','2','828','2118','4840','3975','1437','3804','490','1406','849','1783'
8298,49,0,0,23,bundesliga,1991-03-02,0,'5480','4679','3612','37','1884','979','3595','1466','2012','1508','899','1728','5466','5111','723','484','702','2642','3291','3769','1143','4979'
8299,44,0,1,8,bundesliga,1991-03-02,-1,'451','141','70','3474','1628','443','5107','1426','5163','4905','4665','4552','3946','3786','1989','3570','3322','1326','1321','1033','2039','4776'
8300,42,1,0,36,bundesliga,1991-03-02,1,'5029','1078','857','4339','608','3568','5181','3286','2758','4358','2827','2217','1821','4243','2560','4252','599','598','2124','2212','3916','3959'
8301,53,1,1,28,bundesliga,1991-03-03,0,'3505','975','2672','2526','2913','1100','858','3327','2281','252','5084','4740','130','4327','2966','934','5124','81','1669','4337','4949','3908'
8302,28,2,1,49,bundesliga,1991-03-08,1,'4740','4327','2966','5124','1598','81','5101','2597','1669','3908','4022','5480','4679','3612','37','1884','979','3595','1466','2012','1508','899'
8303,8,0,0,42,bundesliga,1991-03-08,0,'4552','3946','1989','3570','3322','1321','992','1033','2039','4776','4335','5029','1078','857','4339','4328','608','5181','3286','2758','4358','2827'
8304,23,0,1,54,bundesliga,1991-03-09,-1,'1728','5466','723','484','4458','2642','3291','3769','1143','842','348','1275','3307','2796','333','1754','592','149','3771','4443','2090','2133'
8305,27,1,0,39,bundesliga,1991-03-09,1,'2','828','2118','4840','616','1437','490','1406','849','2516','1783','1577','3774','3750','1856','1358','4802','3461','2148','4098','5407','2840'
8306,25,2,2,10,bundesliga,1991-03-09,0,'2087','1194','2154','1112','1495','1028','4799','4055','397','5215','2126','1843','2739','3125','4853','432','1248','897','3778','3470','5399','3261'
8307,33,3,0,40,bundesliga,1991-03-09,3,'12','3813','2465','237','3368','3363','810','5229','5288','2264','5355','4640','3656','3606','2696','4405','447','3705','3886','1913','697','4296'
8308,36,1,0,45,bundesliga,1991-03-09,1,'2217','1821','4243','4252','4668','598','2124','2212','586','3916','3959','2352','77','235','3702','3059','1170','3007','3870','4763','5100','4521'
8309,53,1,1,50,bundesliga,1991-03-09,0,'3505','975','2672','2526','2913','858','1917','3327','2281','252','5084','2389','3718','346','4323','5219','99','2468','2977','2640','2986','1214'
8310,2,0,3,44,bundesliga,1991-03-09,-3,'3928','3687','1573','5429','2851','3634','4284','4700','3310','572','4212','451','141','70','3474','1628','443','1426','733','5163','4905','4665'
8311,54,3,2,28,bundesliga,1991-03-15,1,'1275','3307','2796','333','2936','1754','149','3771','4443','2133','5321','4740','4327','3487','5124','1598','81','2597','1669','4949','3908','4022'
8312,44,3,0,33,bundesliga,1991-03-15,3,'2803','70','3474','1628','443','5107','1426','733','5163','4905','4665','12','3813','2465','237','3368','3363','810','5229','5288','2264','5355'
8313,50,1,2,36,bundesliga,1991-03-15,-1,'2389','3718','346','4323','5219','99','2468','2977','2640','2986','1214','2217','1821','4243','4252','4668','598','2124','2212','586','3916','1637'
8314,40,0,2,25,bundesliga,1991-03-16,-2,'4640','3606','2696','4405','447','962','3705','4037','1913','697','4296','2087','1194','2154','1495','5425','1028','4799','4055','5215','629','4674'
8315,10,1,1,27,bundesliga,1991-03-16,0,'1843','3125','4853','432','1248','897','4432','3778','5399','1268','3261','2','828','2118','4840','616','3975','1437','1406','849','2516','1783'
8316,39,1,1,23,bundesliga,1991-03-16,0,'1577','1891','3774','3750','1856','1358','4999','4802','2148','5407','2840','1728','5111','723','484','4458','2642','3291','3769','3897','842','348'
8317,49,1,3,53,bundesliga,1991-03-16,-2,'5480','4679','3612','37','1884','2728','1263','1466','5447','2012','899','3505','2672','2526','2913','1100','858','1917','3327','2281','252','5084'
8318,42,0,1,2,bundesliga,1991-03-16,-1,'5029','1078','857','4339','4328','608','5181','3286','2758','4358','2827','3928','3687','1573','5429','4652','3634','4284','2970','5275','3310','4212'
8319,45,2,0,8,bundesliga,1991-03-16,2,'2352','77','235','3702','3059','3888','3007','3870','4763','5100','4521','4552','3946','3786','1989','3570','5370','3322','1321','1033','2039','4776'
